id,category,prompt,obj1,bbox1,obj2,bbox2,obj3,bbox3,obj4,bbox4
000,missing_elements,A rose,A rose,"175,108,347,430",,,,,,
001,missing_elements,An oak,An oak,"95,66,419,434",,,,,,
002,missing_elements,A beetle,A beetle,"179,275,449,447",,,,,,
003,missing_elements,A skyscraper,A skyscraper,"42,37,221,469",,,,,,
004,missing_elements,A tree,A tree,"41,69,214,466",,,,,,
005,missing_elements,A baby,A baby,"276,204,468,473",,,,,,
006,missing_elements,A bed,A bed,"80,304,450,457",,,,,,
007,missing_elements,A lamp,A lamp,"179,56,346,290",,,,,,
008,missing_elements,A spider and a clock,A spider,"314,382,442,471",a clock,"63,45,214,215",,,,
009,missing_elements,A television and a caterpillar,A television,"72,61,453,266",a caterpillar,"150,356,408,438",,,,
010,missing_elements,A porcupine and a raccoon,A porcupine,"53,265,215,455",a raccoon,"286,264,446,455",,,,
011,missing_elements,A chair and a fox,A chair,"165,268,335,453",a fox,"170,81,330,262",,,,
012,missing_elements,A train and a cloud,A train,"47,309,488,489",a cloud,"307,31,476,170",,,,
013,missing_elements,A pepper and a fox,A pepper,"52,314,205,453",a fox,"284,132,465,456",,,,
014,missing_elements,A boy and a wolf,A boy,"39,72,239,454",a wolf,"295,227,437,454",,,,
015,missing_elements,An orange and an airplane,An orange,"61,351,188,456",an airplane,"248,50,497,193",,,,
016,missing_elements,"A bicycle, a house and a clock",A bicycle,"37,370,208,465",a house,"251,62,499,470", a clock,"39,71,124,154",,
017,missing_elements,"A telephone, a shark and a worm",A telephone,"46,346,163,451",a shark,"185,194,355,453",a worm,"375,380,495,452",,
018,missing_elements,"A pear, a bear and a beaver",A pear,"43,389,127,468",a bear,"138,79,348,466",a beaver,"371,235,494,471",,
019,missing_elements,"A snake, a couch and a porcupine",A snake,"43,234,335,261",a couch,"17,263,495,488",a porcupine,"363,141,486,260",,
020,missing_elements,"A mountain, a hamster and a bicycle",A mountain,"23,33,483,252",a hamster,"49,387,159,472",a bicycle,"204,269,468,482",,
021,missing_elements,"A table, a telephone and a tulip",A table,"23,237,491,481",a telephone,"37,139,144,235",a tulip,"312,39,379,228",,
022,missing_elements,"A caterpillar, a table and a beaver",A caterpillar,"46,130,247,160",a table,"20,161,477,478",a beaver,"313,34,425,157",,
023,missing_elements,"A shark, an elephant and a rocket",A shark,"35,27,230,184",an elephant,"63,211,461,474",a rocket,"359,18,467,174",,
024,missing_elements,"A leopard, a girl, a bee and a salmon",A leopard,"18,16,130,217",a girl,"353,156,486,471",a bee,"206,110,307,241",a salmon,"47,326,292,465"
025,missing_elements,"A camel, a pine, a television and a bridge",A camel,"29,347,235,472",a pine,"389,127,496,493",a television,"160,225,349,336",a bridge,"32,20,291,171"
