id,category,prompt,obj1,bbox1,obj2,bbox2,obj3,bbox3,obj4,bbox4
000,missing_elements,A rose,rose,"175,108,347,430",,,,,,
001,missing_elements,An oak,oak,"95,66,419,434",,,,,,
002,missing_elements,A beetle,beetle,"179,275,449,447",,,,,,
003,missing_elements,A skyscraper,skyscraper,"42,37,221,469",,,,,,
004,missing_elements,A tree,tree,"41,69,214,466",,,,,,
005,missing_elements,A baby,baby,"276,204,468,473",,,,,,
006,missing_elements,A bed,bed,"80,304,450,457",,,,,,
007,missing_elements,A lamp,lamp,"179,56,346,290",,,,,,
008,missing_elements,A spider and a clock,spider,"314,382,442,471",clock,"63,45,214,215",,,,
009,missing_elements,A television and a caterpillar,television,"72,61,453,266",caterpillar,"150,356,408,438",,,,
010,missing_elements,A porcupine and a raccoon,porcupine,"53,265,215,455",raccoon,"286,264,446,455",,,,
011,missing_elements,A chair and a fox,chair,"165,268,335,453",fox,"170,81,330,262",,,,
012,missing_elements,A train and a cloud,train,"47,309,488,489",cloud,"307,31,476,170",,,,
013,missing_elements,A pepper and a fox,pepper,"52,314,205,453",fox,"284,132,465,456",,,,
014,missing_elements,A boy and a wolf,boy,"39,72,239,454",wolf,"295,227,437,454",,,,
015,missing_elements,An orange and an airplane,orange,"61,351,188,456",airplane,"248,50,497,193",,,,
016,missing_elements,"A bicycle, a house and a clock",bicycle,"37,370,208,465",house,"251,62,499,470",clock,"39,71,124,154",,
017,missing_elements,"A telephone, a shark and a worm",telephone,"46,346,163,451",shark,"185,194,355,453",worm,"375,380,495,452",,
018,missing_elements,"A pear, a bear and a beaver",pear,"43,389,127,468",bear,"138,79,348,466",beaver,"371,235,494,471",,
019,missing_elements,"A snake, a couch and a porcupine",snake,"43,234,335,261",couch,"17,263,495,488",porcupine,"363,141,486,260",,
020,missing_elements,"A mountain, a hamster and a bicycle",mountain,"23,33,483,252",hamster,"49,387,159,472",bicycle,"204,269,468,482",,
021,missing_elements,"A table, a telephone and a tulip",table,"23,237,491,481",telephone,"37,139,144,235",tulip,"312,39,379,228",,
